,iso3,TIME,theil,level
AUS-2000,AUS,2000,0.0094178,gdppc_tl2
AUS-2001,AUS,2001,0.006829488,gdppc_tl2
AUS-2002,AUS,2002,0.007892044,gdppc_tl2
AUS-2003,AUS,2003,0.007570514,gdppc_tl2
AUS-2004,AUS,2004,0.008938248,gdppc_tl2
AUS-2005,AUS,2005,0.010730954,gdppc_tl2
AUS-2006,AUS,2006,0.015710786,gdppc_tl2
AUS-2007,AUS,2007,0.015839342,gdppc_tl2
AUS-2008,AUS,2008,0.018354095,gdppc_tl2
AUS-2009,AUS,2009,0.016661183,gdppc_tl2
AUS-2010,AUS,2010,0.02258278,gdppc_tl2
AUS-2011,AUS,2011,0.02525136,gdppc_tl2
AUS-2012,AUS,2012,0.026235602,gdppc_tl2
AUS-2013,AUS,2013,0.028953945,gdppc_tl2
AUS-2014,AUS,2014,0.022588453,gdppc_tl2
AUS-2015,AUS,2015,0.019175711,gdppc_tl2
AUS-2016,AUS,2016,0.019479353,gdppc_tl2
AUS-2017,AUS,2017,0.018780546,gdppc_tl2
AUS-2018,AUS,2018,0.022334645,gdppc_tl2
AUS-2019,AUS,2019,0.028672704,gdppc_tl2
AUS-2020,AUS,2020,0.034118293,gdppc_tl2
AUT-2000,AUT,2000,0.021059125,gdppc_tl2
AUT-2001,AUT,2001,0.021416905,gdppc_tl2
AUT-2002,AUT,2002,0.020964612,gdppc_tl2
AUT-2003,AUT,2003,0.019367974,gdppc_tl2
AUT-2004,AUT,2004,0.017567126,gdppc_tl2
AUT-2005,AUT,2005,0.018200714,gdppc_tl2
AUT-2006,AUT,2006,0.018904557,gdppc_tl2
AUT-2007,AUT,2007,0.017611706,gdppc_tl2
AUT-2008,AUT,2008,0.017871793,gdppc_tl2
AUT-2009,AUT,2009,0.017990048,gdppc_tl2
AUT-2010,AUT,2010,0.017715625,gdppc_tl2
AUT-2011,AUT,2011,0.016882819,gdppc_tl2
AUT-2012,AUT,2012,0.015928619,gdppc_tl2
AUT-2013,AUT,2013,0.015328867,gdppc_tl2
AUT-2014,AUT,2014,0.014584123,gdppc_tl2
AUT-2015,AUT,2015,0.014874812,gdppc_tl2
AUT-2016,AUT,2016,0.014788734,gdppc_tl2
AUT-2017,AUT,2017,0.013183843,gdppc_tl2
AUT-2018,AUT,2018,0.013782583,gdppc_tl2
AUT-2019,AUT,2019,0.012864339,gdppc_tl2
AUT-2020,AUT,2020,0.012200533,gdppc_tl2
BEL-2000,BEL,2000,0.087397579,gdppc_tl2
BEL-2001,BEL,2001,0.088681241,gdppc_tl2
BEL-2002,BEL,2002,0.088666434,gdppc_tl2
BEL-2003,BEL,2003,0.086714858,gdppc_tl2
BEL-2004,BEL,2004,0.085548711,gdppc_tl2
BEL-2005,BEL,2005,0.083077747,gdppc_tl2
BEL-2006,BEL,2006,0.082900532,gdppc_tl2
BEL-2007,BEL,2007,0.079856483,gdppc_tl2
BEL-2008,BEL,2008,0.075043672,gdppc_tl2
BEL-2009,BEL,2009,0.076724015,gdppc_tl2
BEL-2010,BEL,2010,0.072898163,gdppc_tl2
BEL-2011,BEL,2011,0.071030305,gdppc_tl2
BEL-2012,BEL,2012,0.071608873,gdppc_tl2
BEL-2013,BEL,2013,0.070269034,gdppc_tl2
BEL-2014,BEL,2014,0.069521676,gdppc_tl2
BEL-2015,BEL,2015,0.070610934,gdppc_tl2
BEL-2016,BEL,2016,0.068234283,gdppc_tl2
BEL-2017,BEL,2017,0.067303581,gdppc_tl2
BEL-2018,BEL,2018,0.063880207,gdppc_tl2
BEL-2019,BEL,2019,0.062779478,gdppc_tl2
BEL-2020,BEL,2020,0.062871282,gdppc_tl2
CAN-2000,CAN,2000,0.040628601,gdppc_tl2
CAN-2001,CAN,2001,0.053692073,gdppc_tl2
CAN-2002,CAN,2002,0.044514342,gdppc_tl2
CAN-2003,CAN,2003,0.060556647,gdppc_tl2
CAN-2004,CAN,2004,0.071480177,gdppc_tl2
CAN-2005,CAN,2005,0.064563493,gdppc_tl2
CAN-2006,CAN,2006,0.060148556,gdppc_tl2
CAN-2007,CAN,2007,0.059101717,gdppc_tl2
CAN-2008,CAN,2008,0.066261486,gdppc_tl2
CAN-2009,CAN,2009,0.041154083,gdppc_tl2
CAN-2010,CAN,2010,0.053405406,gdppc_tl2
CAN-2011,CAN,2011,0.050735099,gdppc_tl2
CAN-2012,CAN,2012,0.043510598,gdppc_tl2
CAN-2013,CAN,2013,0.045183175,gdppc_tl2
CAN-2014,CAN,2014,0.048604683,gdppc_tl2
CAN-2015,CAN,2015,0.037996807,gdppc_tl2
CAN-2016,CAN,2016,0.030062328,gdppc_tl2
CAN-2017,CAN,2017,0.031571608,gdppc_tl2
CAN-2018,CAN,2018,0.031112324,gdppc_tl2
CAN-2019,CAN,2019,0.028868037,gdppc_tl2
CAN-2020,CAN,2020,0.034694391,gdppc_tl2
COL-2000,COL,2000,0.156559906,gdppc_tl2
COL-2001,COL,2001,0.156564526,gdppc_tl2
COL-2002,COL,2002,0.156572515,gdppc_tl2
COL-2003,COL,2003,0.156566786,gdppc_tl2
COL-2004,COL,2004,0.156569089,gdppc_tl2
COL-2005,COL,2005,0.156564867,gdppc_tl2
COL-2006,COL,2006,0.149851537,gdppc_tl2
COL-2007,COL,2007,0.137279347,gdppc_tl2
COL-2008,COL,2008,0.1607867,gdppc_tl2
COL-2009,COL,2009,0.134899375,gdppc_tl2
COL-2010,COL,2010,0.148762417,gdppc_tl2
COL-2011,COL,2011,0.193291783,gdppc_tl2
COL-2012,COL,2012,0.190394892,gdppc_tl2
COL-2013,COL,2013,0.185388173,gdppc_tl2
COL-2014,COL,2014,0.159315917,gdppc_tl2
COL-2015,COL,2015,0.119213243,gdppc_tl2
COL-2016,COL,2016,0.098488682,gdppc_tl2
COL-2017,COL,2017,0.106096222,gdppc_tl2
COL-2018,COL,2018,0.116917361,gdppc_tl2
COL-2019,COL,2019,0.118922052,gdppc_tl2
COL-2020,COL,2020,0.104936792,gdppc_tl2
CZE-2000,CZE,2000,0.05520635,gdppc_tl2
CZE-2001,CZE,2001,0.060201011,gdppc_tl2
CZE-2002,CZE,2002,0.070432588,gdppc_tl2
CZE-2003,CZE,2003,0.074966434,gdppc_tl2
CZE-2004,CZE,2004,0.076346746,gdppc_tl2
CZE-2005,CZE,2005,0.080627182,gdppc_tl2
CZE-2006,CZE,2006,0.081160415,gdppc_tl2
CZE-2007,CZE,2007,0.0857398,gdppc_tl2
CZE-2008,CZE,2008,0.088385282,gdppc_tl2
CZE-2009,CZE,2009,0.085670656,gdppc_tl2
CZE-2010,CZE,2010,0.091849059,gdppc_tl2
CZE-2011,CZE,2011,0.081783381,gdppc_tl2
CZE-2012,CZE,2012,0.081459596,gdppc_tl2
CZE-2013,CZE,2013,0.08411888,gdppc_tl2
CZE-2014,CZE,2014,0.082249055,gdppc_tl2
CZE-2015,CZE,2015,0.084181481,gdppc_tl2
CZE-2016,CZE,2016,0.085013999,gdppc_tl2
CZE-2017,CZE,2017,0.08277375,gdppc_tl2
CZE-2018,CZE,2018,0.087505405,gdppc_tl2
CZE-2019,CZE,2019,0.085933318,gdppc_tl2
CZE-2020,CZE,2020,0.081589073,gdppc_tl2
DEU-2000,DEU,2000,0.04549165,gdppc_tl2
DEU-2001,DEU,2001,0.047439295,gdppc_tl2
DEU-2002,DEU,2002,0.046252499,gdppc_tl2
DEU-2003,DEU,2003,0.045469417,gdppc_tl2
DEU-2004,DEU,2004,0.044224732,gdppc_tl2
DEU-2005,DEU,2005,0.044617337,gdppc_tl2
DEU-2006,DEU,2006,0.04200237,gdppc_tl2
DEU-2007,DEU,2007,0.040265518,gdppc_tl2
DEU-2008,DEU,2008,0.039414217,gdppc_tl2
DEU-2009,DEU,2009,0.03655789,gdppc_tl2
DEU-2010,DEU,2010,0.035849964,gdppc_tl2
DEU-2011,DEU,2011,0.034426064,gdppc_tl2
DEU-2012,DEU,2012,0.033808188,gdppc_tl2
DEU-2013,DEU,2013,0.033593211,gdppc_tl2
DEU-2014,DEU,2014,0.031478666,gdppc_tl2
DEU-2015,DEU,2015,0.032269549,gdppc_tl2
DEU-2016,DEU,2016,0.031202548,gdppc_tl2
DEU-2017,DEU,2017,0.030474611,gdppc_tl2
DEU-2018,DEU,2018,0.029970454,gdppc_tl2
DEU-2019,DEU,2019,0.02880553,gdppc_tl2
DEU-2020,DEU,2020,0.026402573,gdppc_tl2
DNK-2000,DNK,2000,0.014974854,gdppc_tl2
DNK-2001,DNK,2001,0.014629371,gdppc_tl2
DNK-2002,DNK,2002,0.01238475,gdppc_tl2
DNK-2003,DNK,2003,0.012881342,gdppc_tl2
DNK-2004,DNK,2004,0.014792635,gdppc_tl2
DNK-2005,DNK,2005,0.018209055,gdppc_tl2
DNK-2006,DNK,2006,0.014613688,gdppc_tl2
DNK-2007,DNK,2007,0.015042794,gdppc_tl2
DNK-2008,DNK,2008,0.017667927,gdppc_tl2
DNK-2009,DNK,2009,0.017850642,gdppc_tl2
DNK-2010,DNK,2010,0.020651806,gdppc_tl2
DNK-2011,DNK,2011,0.018693144,gdppc_tl2
DNK-2012,DNK,2012,0.019017365,gdppc_tl2
DNK-2013,DNK,2013,0.020537221,gdppc_tl2
DNK-2014,DNK,2014,0.022127685,gdppc_tl2
DNK-2015,DNK,2015,0.022461318,gdppc_tl2
DNK-2016,DNK,2016,0.021954438,gdppc_tl2
DNK-2017,DNK,2017,0.022547268,gdppc_tl2
DNK-2018,DNK,2018,0.022995223,gdppc_tl2
DNK-2019,DNK,2019,0.021286573,gdppc_tl2
DNK-2020,DNK,2020,0.022082756,gdppc_tl2
ESP-2000,ESP,2000,0.020464123,gdppc_tl2
ESP-2001,ESP,2001,0.020309507,gdppc_tl2
ESP-2002,ESP,2002,0.01913407,gdppc_tl2
ESP-2003,ESP,2003,0.017442591,gdppc_tl2
ESP-2004,ESP,2004,0.016736541,gdppc_tl2
ESP-2005,ESP,2005,0.016159563,gdppc_tl2
ESP-2006,ESP,2006,0.016505627,gdppc_tl2
ESP-2007,ESP,2007,0.016210068,gdppc_tl2
ESP-2008,ESP,2008,0.016387604,gdppc_tl2
ESP-2009,ESP,2009,0.016596413,gdppc_tl2
ESP-2010,ESP,2010,0.016693644,gdppc_tl2
ESP-2011,ESP,2011,0.017884424,gdppc_tl2
ESP-2012,ESP,2012,0.019154295,gdppc_tl2
ESP-2013,ESP,2013,0.019105705,gdppc_tl2
ESP-2014,ESP,2014,0.020398754,gdppc_tl2
ESP-2015,ESP,2015,0.019865729,gdppc_tl2
ESP-2016,ESP,2016,0.019951217,gdppc_tl2
ESP-2017,ESP,2017,0.019933017,gdppc_tl2
ESP-2018,ESP,2018,0.019365475,gdppc_tl2
ESP-2019,ESP,2019,0.019424142,gdppc_tl2
ESP-2020,ESP,2020,0.018249636,gdppc_tl2
FIN-2000,FIN,2000,0.022238931,gdppc_tl2
FIN-2001,FIN,2001,0.027517836,gdppc_tl2
FIN-2002,FIN,2002,0.024027375,gdppc_tl2
FIN-2003,FIN,2003,0.02119754,gdppc_tl2
FIN-2004,FIN,2004,0.02049971,gdppc_tl2
FIN-2005,FIN,2005,0.019951812,gdppc_tl2
FIN-2006,FIN,2006,0.019918671,gdppc_tl2
FIN-2007,FIN,2007,0.018270772,gdppc_tl2
FIN-2008,FIN,2008,0.017213293,gdppc_tl2
FIN-2009,FIN,2009,0.023697742,gdppc_tl2
FIN-2010,FIN,2010,0.022016776,gdppc_tl2
FIN-2011,FIN,2011,0.017543256,gdppc_tl2
FIN-2012,FIN,2012,0.018459197,gdppc_tl2
FIN-2013,FIN,2013,0.02044946,gdppc_tl2
FIN-2014,FIN,2014,0.018047279,gdppc_tl2
FIN-2015,FIN,2015,0.020549942,gdppc_tl2
FIN-2016,FIN,2016,0.018038011,gdppc_tl2
FIN-2017,FIN,2017,0.016323333,gdppc_tl2
FIN-2018,FIN,2018,0.014188956,gdppc_tl2
FIN-2019,FIN,2019,0.015031766,gdppc_tl2
FIN-2020,FIN,2020,0.013562908,gdppc_tl2
FRA-2000,FRA,2000,0.06756559,gdppc_tl2
FRA-2001,FRA,2001,0.06369929,gdppc_tl2
FRA-2002,FRA,2002,0.063047513,gdppc_tl2
FRA-2003,FRA,2003,0.062282687,gdppc_tl2
FRA-2004,FRA,2004,0.060498067,gdppc_tl2
FRA-2005,FRA,2005,0.058617316,gdppc_tl2
FRA-2006,FRA,2006,0.055892785,gdppc_tl2
FRA-2007,FRA,2007,0.058165339,gdppc_tl2
FRA-2008,FRA,2008,0.0555024,gdppc_tl2
FRA-2009,FRA,2009,0.054549422,gdppc_tl2
FRA-2010,FRA,2010,0.056530108,gdppc_tl2
FRA-2011,FRA,2011,0.054932492,gdppc_tl2
FRA-2012,FRA,2012,0.054300417,gdppc_tl2
FRA-2013,FRA,2013,0.054658025,gdppc_tl2
FRA-2014,FRA,2014,0.053599825,gdppc_tl2
FRA-2015,FRA,2015,0.053218396,gdppc_tl2
FRA-2016,FRA,2016,0.053144772,gdppc_tl2
FRA-2017,FRA,2017,0.053308757,gdppc_tl2
FRA-2018,FRA,2018,0.054427021,gdppc_tl2
FRA-2019,FRA,2019,0.056031376,gdppc_tl2
FRA-2020,FRA,2020,0.052247859,gdppc_tl2
GBR-2000,GBR,2000,0.028306481,gdppc_tl2
GBR-2001,GBR,2001,0.02652773,gdppc_tl2
GBR-2002,GBR,2002,0.025027215,gdppc_tl2
GBR-2003,GBR,2003,0.024527011,gdppc_tl2
GBR-2004,GBR,2004,0.024037053,gdppc_tl2
GBR-2005,GBR,2005,0.025976288,gdppc_tl2
GBR-2006,GBR,2006,0.025771797,gdppc_tl2
GBR-2007,GBR,2007,0.029743569,gdppc_tl2
GBR-2008,GBR,2008,0.029872672,gdppc_tl2
GBR-2009,GBR,2009,0.028450121,gdppc_tl2
GBR-2010,GBR,2010,0.029053999,gdppc_tl2
GBR-2011,GBR,2011,0.029730163,gdppc_tl2
GBR-2012,GBR,2012,0.029954063,gdppc_tl2
GBR-2013,GBR,2013,0.030862198,gdppc_tl2
GBR-2014,GBR,2014,0.032670702,gdppc_tl2
GBR-2015,GBR,2015,0.032171936,gdppc_tl2
GBR-2016,GBR,2016,0.033683426,gdppc_tl2
GBR-2017,GBR,2017,0.032798051,gdppc_tl2
GBR-2018,GBR,2018,0.033016894,gdppc_tl2
GBR-2019,GBR,2019,0.032336609,gdppc_tl2
GBR-2020,GBR,2020,0.033979654,gdppc_tl2
GRC-2000,GRC,2000,0.016498688,gdppc_tl2
GRC-2001,GRC,2001,0.015739416,gdppc_tl2
GRC-2002,GRC,2002,0.01480616,gdppc_tl2
GRC-2003,GRC,2003,0.014402847,gdppc_tl2
GRC-2004,GRC,2004,0.016166151,gdppc_tl2
GRC-2005,GRC,2005,0.017290182,gdppc_tl2
GRC-2006,GRC,2006,0.018092369,gdppc_tl2
GRC-2007,GRC,2007,0.018329987,gdppc_tl2
GRC-2008,GRC,2008,0.01969889,gdppc_tl2
GRC-2009,GRC,2009,0.018797994,gdppc_tl2
GRC-2010,GRC,2010,0.017611992,gdppc_tl2
GRC-2011,GRC,2011,0.018355038,gdppc_tl2
GRC-2012,GRC,2012,0.019468565,gdppc_tl2
GRC-2013,GRC,2013,0.020610308,gdppc_tl2
GRC-2014,GRC,2014,0.021312978,gdppc_tl2
GRC-2015,GRC,2015,0.019967582,gdppc_tl2
GRC-2016,GRC,2016,0.018984593,gdppc_tl2
GRC-2017,GRC,2017,0.020158937,gdppc_tl2
GRC-2018,GRC,2018,0.020707113,gdppc_tl2
GRC-2019,GRC,2019,0.021284927,gdppc_tl2
GRC-2020,GRC,2020,0.018910964,gdppc_tl2
HUN-2000,HUN,2000,0.078758393,gdppc_tl2
HUN-2001,HUN,2001,0.074896929,gdppc_tl2
HUN-2002,HUN,2002,0.085066985,gdppc_tl2
HUN-2003,HUN,2003,0.082773453,gdppc_tl2
HUN-2004,HUN,2004,0.087373171,gdppc_tl2
HUN-2005,HUN,2005,0.094150319,gdppc_tl2
HUN-2006,HUN,2006,0.101772611,gdppc_tl2
HUN-2007,HUN,2007,0.102282009,gdppc_tl2
HUN-2008,HUN,2008,0.107385208,gdppc_tl2
HUN-2009,HUN,2009,0.118727963,gdppc_tl2
HUN-2010,HUN,2010,0.110025533,gdppc_tl2
HUN-2011,HUN,2011,0.107847332,gdppc_tl2
HUN-2012,HUN,2012,0.107991537,gdppc_tl2
HUN-2013,HUN,2013,0.097753197,gdppc_tl2
HUN-2014,HUN,2014,0.095713563,gdppc_tl2
HUN-2015,HUN,2015,0.084522216,gdppc_tl2
HUN-2016,HUN,2016,0.086501957,gdppc_tl2
HUN-2017,HUN,2017,0.08739473,gdppc_tl2
HUN-2018,HUN,2018,0.084653426,gdppc_tl2
HUN-2019,HUN,2019,0.091361823,gdppc_tl2
HUN-2020,HUN,2020,0.089195649,gdppc_tl2
ITA-2000,ITA,2000,0.034731874,gdppc_tl2
ITA-2001,ITA,2001,0.033767838,gdppc_tl2
ITA-2002,ITA,2002,0.033580279,gdppc_tl2
ITA-2003,ITA,2003,0.034382655,gdppc_tl2
ITA-2004,ITA,2004,0.034434395,gdppc_tl2
ITA-2005,ITA,2005,0.033351851,gdppc_tl2
ITA-2006,ITA,2006,0.032166041,gdppc_tl2
ITA-2007,ITA,2007,0.032478373,gdppc_tl2
ITA-2008,ITA,2008,0.033209465,gdppc_tl2
ITA-2009,ITA,2009,0.032827057,gdppc_tl2
ITA-2010,ITA,2010,0.035177781,gdppc_tl2
ITA-2011,ITA,2011,0.036167197,gdppc_tl2
ITA-2012,ITA,2012,0.036853995,gdppc_tl2
ITA-2013,ITA,2013,0.038122856,gdppc_tl2
ITA-2014,ITA,2014,0.039551414,gdppc_tl2
ITA-2015,ITA,2015,0.037728162,gdppc_tl2
ITA-2016,ITA,2016,0.038506964,gdppc_tl2
ITA-2017,ITA,2017,0.038954968,gdppc_tl2
ITA-2018,ITA,2018,0.039197478,gdppc_tl2
ITA-2019,ITA,2019,0.038878388,gdppc_tl2
ITA-2020,ITA,2020,0.037839212,gdppc_tl2
JPN-2000,JPN,2000,0.006685246,gdppc_tl2
JPN-2001,JPN,2001,0.006685266,gdppc_tl2
JPN-2002,JPN,2002,0.006893964,gdppc_tl2
JPN-2003,JPN,2003,0.006972452,gdppc_tl2
JPN-2004,JPN,2004,0.00753016,gdppc_tl2
JPN-2005,JPN,2005,0.008381663,gdppc_tl2
JPN-2006,JPN,2006,0.01087143,gdppc_tl2
JPN-2007,JPN,2007,0.011230566,gdppc_tl2
JPN-2008,JPN,2008,0.010586581,gdppc_tl2
JPN-2009,JPN,2009,0.00828565,gdppc_tl2
JPN-2010,JPN,2010,0.007903539,gdppc_tl2
JPN-2011,JPN,2011,0.00863417,gdppc_tl2
JPN-2012,JPN,2012,0.008688905,gdppc_tl2
JPN-2013,JPN,2013,0.00844669,gdppc_tl2
JPN-2014,JPN,2014,0.00759302,gdppc_tl2
JPN-2015,JPN,2015,0.007238931,gdppc_tl2
JPN-2016,JPN,2016,0.006726569,gdppc_tl2
JPN-2017,JPN,2017,0.006435762,gdppc_tl2
JPN-2018,JPN,2018,0.006433593,gdppc_tl2
JPN-2019,JPN,2019,0.006433382,gdppc_tl2
JPN-2020,JPN,2020,0.0064338,gdppc_tl2
KOR-2000,KOR,2000,0.005195142,gdppc_tl2
KOR-2001,KOR,2001,0.006005653,gdppc_tl2
KOR-2002,KOR,2002,0.005991312,gdppc_tl2
KOR-2003,KOR,2003,0.005261351,gdppc_tl2
KOR-2004,KOR,2004,0.005635241,gdppc_tl2
KOR-2005,KOR,2005,0.005921543,gdppc_tl2
KOR-2006,KOR,2006,0.00626686,gdppc_tl2
KOR-2007,KOR,2007,0.006263271,gdppc_tl2
KOR-2008,KOR,2008,0.007318278,gdppc_tl2
KOR-2009,KOR,2009,0.006205958,gdppc_tl2
KOR-2010,KOR,2010,0.00856758,gdppc_tl2
KOR-2011,KOR,2011,0.008529849,gdppc_tl2
KOR-2012,KOR,2012,0.007365716,gdppc_tl2
KOR-2013,KOR,2013,0.006914593,gdppc_tl2
KOR-2014,KOR,2014,0.005709081,gdppc_tl2
KOR-2015,KOR,2015,0.005521722,gdppc_tl2
KOR-2016,KOR,2016,0.005306359,gdppc_tl2
KOR-2017,KOR,2017,0.006159513,gdppc_tl2
KOR-2018,KOR,2018,0.006624364,gdppc_tl2
KOR-2019,KOR,2019,0.00566135,gdppc_tl2
KOR-2020,KOR,2020,0.007226606,gdppc_tl2
MEX-2000,MEX,2000,0.229610376,gdppc_tl2
MEX-2001,MEX,2001,0.229610777,gdppc_tl2
MEX-2002,MEX,2002,0.229609006,gdppc_tl2
MEX-2003,MEX,2003,0.229608548,gdppc_tl2
MEX-2004,MEX,2004,0.284390656,gdppc_tl2
MEX-2005,MEX,2005,0.321059341,gdppc_tl2
MEX-2006,MEX,2006,0.326307292,gdppc_tl2
MEX-2007,MEX,2007,0.323684731,gdppc_tl2
MEX-2008,MEX,2008,0.33345291,gdppc_tl2
MEX-2009,MEX,2009,0.238484895,gdppc_tl2
MEX-2010,MEX,2010,0.249086917,gdppc_tl2
MEX-2011,MEX,2011,0.291235295,gdppc_tl2
MEX-2012,MEX,2012,0.263528906,gdppc_tl2
MEX-2013,MEX,2013,0.235376888,gdppc_tl2
MEX-2014,MEX,2014,0.209521436,gdppc_tl2
MEX-2015,MEX,2015,0.120668746,gdppc_tl2
MEX-2016,MEX,2016,0.109181064,gdppc_tl2
MEX-2017,MEX,2017,0.116360279,gdppc_tl2
MEX-2018,MEX,2018,0.12316061,gdppc_tl2
MEX-2019,MEX,2019,0.131518871,gdppc_tl2
MEX-2020,MEX,2020,0.103741851,gdppc_tl2
NLD-2000,NLD,2000,0.023561006,gdppc_tl2
NLD-2001,NLD,2001,0.02361055,gdppc_tl2
NLD-2002,NLD,2002,0.023530829,gdppc_tl2
NLD-2003,NLD,2003,0.021308266,gdppc_tl2
NLD-2004,NLD,2004,0.021666284,gdppc_tl2
NLD-2005,NLD,2005,0.021954817,gdppc_tl2
NLD-2006,NLD,2006,0.021477145,gdppc_tl2
NLD-2007,NLD,2007,0.019736225,gdppc_tl2
NLD-2008,NLD,2008,0.020659739,gdppc_tl2
NLD-2009,NLD,2009,0.021428509,gdppc_tl2
NLD-2010,NLD,2010,0.020871319,gdppc_tl2
NLD-2011,NLD,2011,0.019499609,gdppc_tl2
NLD-2012,NLD,2012,0.020871086,gdppc_tl2
NLD-2013,NLD,2013,0.022319322,gdppc_tl2
NLD-2014,NLD,2014,0.0208194,gdppc_tl2
NLD-2015,NLD,2015,0.020999757,gdppc_tl2
NLD-2016,NLD,2016,0.020669451,gdppc_tl2
NLD-2017,NLD,2017,0.021018703,gdppc_tl2
NLD-2018,NLD,2018,0.020950953,gdppc_tl2
